ID,SMILES,group,with_3F,racemic_trans,mixture_isomer,trans,Kd,IC50,erk_IC50
US_134,F[C@H]1CN2CCC[C@@]2(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)C1,US,0,0,0,0,6.9,3.7,895.4
US_135,OCC1CCC2(COc3nc(N4CC5CCC(C4)N5)c4cnc(c(F)c4n3)-c3cccc4cccc(Cl)c34)CCCN12,US,0,0,0,0,,2.1,4820.9
US_136,Fc1c(ncc2c(nc(OC[C@@H]3CCCO3)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,US,0,0,0,0,,5150.6,
US_137,Fc1c(ncc2c(nc(OC[C@H]3CCCO3)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,US,0,0,0,0,,2633.4,
US_138,CO[C@H](C)COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,US,0,0,0,0,,8067.8,
US_139,Nc1cccc(CCOc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cc(O)cc3ccccc23)n1,US,0,0,0,0,25.4,113.3,5245.1
US_140,COc1cccnc1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,US,0,0,0,0,5591.7,5161.4,
US_141,Nc1ccc(CCOc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)cn1,US,0,0,0,0,,891.1,16666.7
US_142,Fc1c(ncc2c(nc(OC3CCc4[nH]ncc4C3)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,US,0,0,0,0,13834,8846.4,
US_143,Fc1c(ncc2c(nc(OC3CCc4cn[nH]c4C3)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,US,0,0,0,0,14933.6,4563.2,
US_144,Cn1nccc1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,US,0,0,0,0,,1702.3,
US_145,Cn1ccc(CCOc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)n1,US,0,0,0,0,,5002.5,
US_146,Cn1cc(CCOc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)cn1,US,0,0,0,0,,2285.7,
US_147,Fc1c(ncc2c(nc(OCCn3cccn3)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,US,0,0,0,0,18778.9,5876.2,
US_148,Cn1cnc2ccc(Oc3nc(N4CC5CCC(C4)N5)c4cnc(c(F)c4n3)-c3cccc4cccc(Cl)c34)cc12,US,0,0,0,0,,5180,
US_149,CO[C@H]1CC(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)N(C)C1,US,0,0,0,0,,869.5,
US_150,Fc1c(ncc2c(nc(OCc3cccn4ccnc34)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,US,0,0,0,0,,1981.1,
